author,mean,std,count,sum
austen,136299.42857142858,63281.43296643744,7,954096
baum,58236.0,7786.548114438228,14,815304
dickens,318340.71428571426,157404.26914082808,14,4456770
fitzgerald,101398.5,39450.69702082045,8,811188
melville,125929.7,78456.58186970535,10,1259297
thompson,54480.692307692305,5818.705961302957,13,708249
twain,156052.66666666666,62133.74950754756,6,936316
wells,77893.08333333333,44597.99939552595,12,934717
