seed,train_author,epochs_completed,loss_dataset,loss_value
0,austen,0,baum,10.923185484749933
0,austen,0,thompson,10.910542607307434
0,austen,0,dickens,10.927523851394652
0,austen,0,melville,10.919183158874512
0,austen,0,wells,10.929968452453611
0,austen,0,austen,10.867754697799684
0,austen,0,fitzgerald,10.925923515768613
0,austen,0,twain,10.905033111572266
0,austen,1,train,9.4628915309906
0,austen,1,baum,8.89083194732666
0,austen,1,thompson,8.859227418899536
0,austen,1,dickens,8.919299221038818
0,austen,1,melville,8.93587958017985
0,austen,1,wells,8.855349349975587
0,austen,1,austen,9.011180400848389
0,austen,1,fitzgerald,8.85764492259306
0,austen,1,twain,8.932424704233805
0,austen,2,train,8.773478770256043
0,austen,2,baum,8.482233592442103
0,austen,2,thompson,8.461183309555054
0,austen,2,dickens,8.50973138809204
0,austen,2,melville,8.528533299763998
0,austen,2,wells,8.448602485656739
0,austen,2,austen,8.624138355255127
0,austen,2,fitzgerald,8.449111714082605
0,austen,2,twain,8.529246727625528
0,austen,3,train,8.35542447566986
0,austen,3,baum,8.064937319074359
0,austen,3,thompson,8.056130468845367
0,austen,3,dickens,8.089574384689332
0,austen,3,melville,8.11203638712565
0,austen,3,wells,8.031536293029784
0,austen,3,austen,8.22568678855896
0,austen,3,fitzgerald,8.033812635085162
0,austen,3,twain,8.118441661198935
0,austen,4,train,7.915510201454163
0,austen,4,baum,7.617268766675677
0,austen,4,thompson,7.620983064174652
0,austen,4,dickens,7.638762807846069
0,austen,4,melville,7.664879830678304
0,austen,4,wells,7.58380069732666
0,austen,4,austen,7.798070907592773
0,austen,4,fitzgerald,7.588325809029972
0,austen,4,twain,7.677600979804993
0,austen,5,train,7.451420283317566
0,austen,5,baum,7.146956988743374
0,austen,5,thompson,7.162606954574585
0,austen,5,dickens,7.165149736404419
0,austen,5,melville,7.19488623936971
0,austen,5,wells,7.11299057006836
0,austen,5,austen,7.34869372844696
0,austen,5,fitzgerald,7.119741327622357
0,austen,5,twain,7.213874379793803
0,austen,6,train,6.9635986328125
0,austen,6,baum,6.665200710296631
0,austen,6,thompson,6.691470980644226
0,austen,6,dickens,6.680042123794555
0,austen,6,melville,6.713540681203207
0,austen,6,wells,6.629642486572266
0,austen,6,austen,6.889018654823303
0,austen,6,fitzgerald,6.6390587021322816
0,austen,6,twain,6.739043951034546
0,austen,7,train,6.481626880168915
0,austen,7,baum,6.186520917075021
0,austen,7,thompson,6.22266149520874
0,austen,7,dickens,6.197877812385559
0,austen,7,melville,6.235212071736654
0,austen,7,wells,6.148486804962158
0,austen,7,austen,6.432297110557556
0,austen,7,fitzgerald,6.160797343534582
0,austen,7,twain,6.267289241154988
0,austen,8,train,5.994755756855011
0,austen,8,baum,5.718913963862828
0,austen,8,thompson,5.763105928897858
0,austen,8,dickens,5.726610231399536
0,austen,8,melville,5.768234475453695
0,austen,8,wells,5.677108097076416
0,austen,8,austen,5.986929297447205
0,austen,8,fitzgerald,5.692361326778636
0,austen,8,twain,5.806530316670735
0,austen,9,train,5.5341259956359865
0,austen,9,baum,5.273763929094587
0,austen,9,thompson,5.324393808841705
0,austen,9,dickens,5.278361797332764
0,austen,9,melville,5.324390316009522
0,austen,9,wells,5.227445888519287
0,austen,9,austen,5.564629554748535
0,austen,9,fitzgerald,5.245469962849336
0,austen,9,twain,5.36768114566803
0,austen,10,train,5.097538959980011
0,austen,10,baum,4.8563675199236185
0,austen,10,thompson,4.911213278770447
0,austen,10,dickens,4.857749176025391
0,austen,10,melville,4.908010387420655
